"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02"
"10025","New York","NY","New York","New York",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,559000,599000,615000,572500,584500,625000,625000,649500,699000,767500,702000,750000,735000,727497.5,725000,735000,735000,750000,750000,749500,737500,635000,699497.5,699000,699000,657500,7e+05,725000,692000,697000,685000,699500,699000,757500,712000,699000,789500,750000,699000,722000,699000,745000,730000,745000,799000,730000
"10023","New York","NY","New York","New York",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400000,1375000,1350000,1450000,1450000,1572500,1520000,1450000,1395000,1450000,1527500,1575000,1557500,1497500,1495000,1495000,1387500,1285000
"10016","New York","NY","New York","New York",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999000,999000,849000,887000,965000,899000,899000,935000,899000,899000,897000,899000,925000,1e+06,968762.5,999999.5,1025000,1149000
"11375","New York","NY","New York","Queens",4,235000,229000,229000,229000,229000,229000,222888,223444,219000,215000,219000,218000,219000,215000,219000,215000,218444,215000,215000,215000,218000,215000,209000,205000,209000,209000,209000,210000,210000,215000,215000,219000,209500,209000,209000,209000,209000,209000,209000,209000,209000,215000,220000,219000,219000,218000,219000,215000,214000,219388.5,219388.5,219777,229000,229000,226500,229000,234888,239000,239000,245000,250000,268000,275000,268000,252000,259000,252000,250000,262000,259000,278000,269000,276500,279250,266500,269000,269000,275000,279000,285000,279950,279000,280000,298000,298880,292444,298884,298888,299000,299999,299000,291944,289000,299000,299999,299499.5,315000,321750
"10128","New York","NY","New York","New York",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1030000,1030000,1020000,1011250,998750,1002500,995000,995000,975000,999000,955000,929500,972500,950000
"20009","Washington","DC","Washington","District of Columbia",6,349000,350000,359000,349900,339000,339000,339000,329250,339950,340000,349450,349000,355000,336000,339900,337250,339450,339000,319450,339000,339000,339000,335000,349000,329000,327000,329950,342000,349277.5,355000,350000,339900,339450,339900,339900,334450,329900,348500,339900,361500,362000,365900,369000,362450,350000,349500,359000,354450,362000,365000,349700,345000,349000,349250,349500,349900,374750,350000,349900,349450,349000,342250,373750,385000,399250,399900,379000,399000,399000,389900,392000,389900,395000,410000,399000,385000,374999,384900,399000,394277.5,374440,374999,382450,380000,362500,384620,389000,399000,387058.5,389000,395000,399900,399220,399900,399900,392000,389000,398900
"10003","New York","NY","New York","New York",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1172000,1172000,1197500,1172000,1190000,1183500,1100000,1150000,1147500,1150000,1122500,1195000,1195000,1199000,1295000,1367500,1250000,1325000,1270000,1250000,1191500,1362500,1417500,1390000,1407500,1407500,1475000
"10463","New York","NY","New York","Bronx",8,199000,199000,199000,199000,216500,199000,199000,207000,225000,225000,225000,205000,210000,199000,199950,199000,199000,199000,189000,192450,189000,189950,190000,190000,185000,184900,189000,180950,179000,179000,180000,179000,179900,185000,189000,189000,189000,185000,189000,185000,184750,179000,179000,179250,182000,179500,177900,175000,177900,174900,174900,178450,179000,175000,184500,179990,188250,185500,179000,179000,181450,175000,174900,170000,175000,174900,174900,175000,175000,179000,179000,179000,179000,175000,175000,175000,177750,179000,179000,180000,185000,189000,187500,189500,189500,189000,184949.5,180000,184999,189000,190000,190000,194000,199000,199000,194900,195000,195000
"11209","New York","NY","New York","Kings",9,258500,258000,239900,239900,239000,239900,239000,239000,239000,233500,229000,229000,229000,225000,229000,229000,229000,229000,229000,222500,220000,219900,219000,219000,225000,225000,227000,229000,239500,239000,249000,249000,239000,232000,230000,235000,239000,246500,244000,244000,236000,229000,238000,237750,239000,227500,229000,225000,225000,225000,225000,225000,229000,225000,229000,224950,240000,239000,245000,245000,245000,239000,242000,245000,250000,254950,257500,256000,269000,269000,269000,269000,268500,269000,270950,299000,335000,330000,338500,349499.5,349000,329500,329500,341900,341900,341900,329000,329000,330999,330999,327999.5,344499.5,339000,339999,330999,329000,329999.5,339000
"07030","Hoboken","NJ","New York","Hudson",10,365000,364250,364950,364950,359900,359000,364000,359000,369000,368500,369000,369000,369456,369000,365000,355000,359000,352500,346000,349000,329250,329250,335000,332000,343000,339999,334000,337499.5,349000,339999,339499.5,339450,320000,319000,349000,362000,382450,389725,395000,395000,389000,399900,399000,399000,383950,399000,394000,379000,379000,379000,395000,399000,392457.5,379000,389000,409950,419000,432000,439000,439450,437000,437000,435000,452500,439000,425000,419500,430000,439500,470000,475000,472000,467500,474990,449000,449000,459000,450000,427000,425000,459000,489000,539000,535000,475000,503500,510000,544000,509450,509900,499000,499000,499000,517499,499000,499000,499000,499000
"33160","Sunny Isles Beach","FL","Miami-Fort Lauderdale","Miami-Dade",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214000,222500,225000,224000,234300,240000,249000,249000,235000,239950,239450,240000,250000,250000,250000,249000,229900,220000,239000,239450,218000,225000,226250,210950,228000,229000,235800,230000,230000,235000,237700,239900,249000,249000,240000,240000,245000,247000,248000,249000,249000,249000,240000,239500,255000,245000,250000,250000,250000,255000,259000,257950
"10019","New York","NY","New York","New York",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,975000,950000,972500,970000,1030500,1021500,1021500,970000,960000,1045000,1049500,1090000,1150000,1117500,1117500,1125000,1095000,1076000,1105000,1147500,1145000,1135000,1162500,1112500,1105000,1100000,1150000,1135000,1130000,1140000,1105000,1145000,1179000,1179000,1166500,1192500,1195000,1215000,1197000,1195000,1190000,1195000,1197500,1195000,1290000,1296000,1365500,1368000,1375000,1362500,1305500,1331500,1502000,1403000
"33411","Royal Palm Beach","FL","Miami-Fort Lauderdale","Palm Beach",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55500,55000,56900,56000,56944,54500,52450,58194,58888,58888,58250,62000,69500,68000,69900,67500,64000,68450,65950,65950,69900,69950,71450,78900,82500
