"RegionType","RegionName","State","CBSA Title","SizeRankCity","SizeRankMetro","PctPriceCut","DaysOnMarket","BuyerSellerIndex","BuyerSellerIndexMetro"
"Zip","87109","NM","""Albuquerque, NM""",2470,59,15.8823529411765,71.5,3.33333333333333,7.66809728183119
"Zip","87112","NM","""Albuquerque, NM""",2520,59,16.9724770642202,83,7.61904761904762,7.66809728183119
"Zip","87105","NM","""Albuquerque, NM""",2654,59,16.25,97,8.57142857142857,7.66809728183119
"Zip","87123","NM","""Albuquerque, NM""",2775,59,14.8854961832061,85.5,4.76190476190476,7.66809728183119
"Zip","87110","NM","""Albuquerque, NM""",2790,59,13.0434782608696,70,2.38095238095238,7.66809728183119
"Zip","87108","NM","""Albuquerque, NM""",2820,59,19.7452229299363,92,9.52380952380952,7.66809728183119
"Zip","87031","NM","""Albuquerque, NM""",3481,59,9.85401459854015,94,3.80952380952381,7.66809728183119
"Zip","87144","NM","""Albuquerque, NM""",3839,59,13.4897360703812,66,1.9047619047619,7.66809728183119
"Zip","87107","NM","""Albuquerque, NM""",4586,59,17.4418604651163,98,10,7.66809728183119
"Zip","87106","NM","""Albuquerque, NM""",4871,59,18.75,87,9.04761904761905,7.66809728183119
"Zip","87102","NM","""Albuquerque, NM""",6033,59,8,70,0.476190476190476,7.66809728183119
"Zip","87002","NM","""Albuquerque, NM""",6855,59,10.7344632768362,147,5.71428571428571,7.66809728183119
"Zip","87122","NM","""Albuquerque, NM""",7629,59,15.2777777777778,87,6.19047619047619,7.66809728183119
"Zip","87113","NM","""Albuquerque, NM""",7872,59,12.3287671232877,63,0.952380952380952,7.66809728183119
"Zip","87104","NM","""Albuquerque, NM""",8017,59,13.6986301369863,80,2.85714285714286,7.66809728183119
"Zip","87059","NM","""Albuquerque, NM""",8567,59,15.7894736842105,102,8.09523809523809,7.66809728183119
"Zip","18103","PA","""Allentown-Bethlehem-Easton, PA-NJ""",2689,67,10.4575163398693,77,1.85185185185185,8.28326180257511
"Zip","18104","PA","""Allentown-Bethlehem-Easton, PA-NJ""",2943,67,15.3333333333333,81,4.07407407407407,8.28326180257511
"Zip","18102","PA","""Allentown-Bethlehem-Easton, PA-NJ""",3098,67,14.5348837209302,97,6.66666666666667,8.28326180257511
"Zip","18042","PA","""Allentown-Bethlehem-Easton, PA-NJ""",3319,67,15.1351351351351,103.5,8.51851851851852,8.28326180257511
"Zip","18017","PA","""Allentown-Bethlehem-Easton, PA-NJ""",3388,67,14.0350877192982,75,2.59259259259259,8.28326180257511
"Zip","18018","PA","""Allentown-Bethlehem-Easton, PA-NJ""",3969,67,15.1785714285714,66,2.22222222222222,8.28326180257511
