"RegionType","RegionName","City","State","Metro","CBSATitle","SizeRank","MarketHealthIndex","SellForGain","PrevForeclosed","ForeclosureRatio","ZHVI","MoM","YoY","ForecastYoYPctChange","StockOfREOs","NegativeEquity","Delinquency","DaysOnMarket"
"Zip","01001","Agawam","MA","Springfield, MA","""Springfield, MA""",,1.3103840220833,75,,5.7575,204700,0.097799511002445,5.08213552361396,0.0282217879824134,,0.112504610844707,0.0721311475409836,
"Zip","01002","Amherst","MA","Springfield, MA","""Springfield, MA""",,4.88998944548185,92.31,,,326300,0.803212851405622,4.449423815621,0.0219338032485443,,0.0600522193211488,0.0507246376811594,
"Zip","01005"," Barre","MA","Worcester, MA","""Worcester, MA-CT""",,0.794836404968742,50,,73.3217,225300,0.31166518254675,-0.967032967032967,0.0354593874833555,,0.0795454545454546,0.174603174603175,
"Zip","01007"," Belchertown","MA","Springfield, MA","""Springfield, MA""",,4.48891775594706,100,,,267200,0.564546480993602,1.17379780386217,0.0210291916167664,,0.057421875,0.0340136054421769,
"Zip","01008","Blandford","MA","Springfield, MA","""Springfield, MA""",,1.76585207436876,0,,,228700,0.219106047326906,6.17455896007428,0.0257498906864888,,0.0714285714285714,0.166666666666667,
"Zip","01010","Brimfield","MA","Springfield, MA","""Springfield, MA""",,2.95039376471543,100,,9.6012,250000,1.01010101010101,4.95382031905961,0.021504,,0.0804597701149425,0.102040816326531,
"Zip","01011","Chester","MA","Springfield, MA","""Springfield, MA""",,4.10246001461395,100,,,176500,0.56980056980057,5.81534772182254,0.0271444759206798,,0.0875912408759124,0.0833333333333333,
"Zip","01013","Chicopee","MA","Springfield, MA","""Springfield, MA""",,2.71332304944386,100,,5.6505,177500,0.623582766439909,6.41486810551559,0.0238197183098592,,0.113647894469812,0.0982142857142857,
"Zip","01020","Chicopee","MA","Springfield, MA","""Springfield, MA""",,3.20776163026711,88.89,,4.2796,185700,0.378378378378378,6.23569794050343,0.0248734518039848,,0.0881012658227848,0.0545977011494253,
"Zip","01022","Chicopee","MA","Springfield, MA","""Springfield, MA""",,0.618657140537469,,,,115400,0.522648083623693,1.85348631950574,0.0201993067590989,,0.202040816326531,0.0808080808080808,
"Zip","01026","Cummington","MA","Springfield, MA","""Springfield, MA""",,1.90712024031826,,,34.0021,235600,1.37693631669535,1.42057684029273,0.0134168081494057,,0.0592592592592593,0.125,
"Zip","01027","Easthampton","MA","Springfield, MA","""Springfield, MA""",,4.74222619144272,100,,7.0512,248400,0.607533414337789,5.5673608159796,0.0209782608695652,,0.0508226691042048,0.0359712230215827,
"Zip","01028","East Longmeadow","MA","Springfield, MA","""Springfield, MA""",,4.78687992205894,90,,2.4056,254000,0.355590675622284,6.94736842105263,0.0305,,0.0698005698005698,0.076530612244898,
"Zip","01030","Agawam","MA","Springfield, MA","""Springfield, MA""",,3.5284566046927,100,,,239300,0.167434072833822,3.99826162538027,0.0257333890514,,0.0471945464079706,0.111111111111111,
