"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02"
"28657","Newland","NC",,"Avery",1246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154999,149900,129450,130000,132250,137000,139900,137000,129900,129900,134500,129900,129450,128500,129000,129000,125000,126000,125000,119900,120000,129000,131800,132200,129900,129000,128700,129000,129000,139900,129900,129900,123950,138700,139700,129900
"80487","Steamboat Springs","CO","Steamboat Springs","Routt",1247,369000,349000,365000,362950,374900,370000,362500,349000,340000,328250,335000,329000,332500,329500,329500,326250,325000,319500,310000,299499.5,299450,305000,317000,319900,332000,317500,322500,315000,329000,329000,329900,327000,310000,3e+05,314900,319000,337400,319000,315000,307000,298500,289000,289000,299000,309000,319000,319000,319000,345000,326950,324500,319000,319000,323900,319000,318000,325000,339000,332200,329450,332200,329900,334750,354000,349000,346950,344200,335000,335000,359000,372000,385750,382000,362400,350000,349500,347000,359000,375000,372000,384450,385000,399000,384000,379000,359900,349500,360500,356950,372500,385000,366450,368450,326000,327250,345000,375000,408700
"28713","Bryson City","NC",,"Swain",1248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169000,175000,173900,171950,175000,179000,184000,177000,177000,179000,174350,174350,159999,159350,150000,174900,179900,169950,172450,172450,154949.5,169900,169900,149900,149450,168500,160000,168500,170000,163500,179000,196000,170000
"80435","Keystone","CO","Breckenridge","Summit",1249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,415000,427000,435000,410000,410000,430000,455900,464000,467000,520000,535000,525000,525000
"89109","Las Vegas","NV","Las Vegas","Clark",1250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350000,365000,345000,365000,389000,338750,367500,362500,382000,359900,349999.5,347500,359950,384450,396900,389000,402000,402000,419500,399450,408500,399999,411000,399900,399000,422500,427000,419900,391450,400500,401000,4e+05,364900,399000,399444,399950,399900,422500,429900,428888,425000,425000,429000,419000,425000,419000,407450,425000,429777,427000,407400,419900,425000,429990,424950,414950,419000,425000,442450,449000,449000
"34429","Crystal River","FL","Homosassa Springs","Citrus",1251,146200,148900,141700,137850,139900,139900,140000,139900,139600,139000,139000,132300,119500,105000,115000,113950,115000,115000,115000,112900,110000,112500,108450,104500,108900,99900,99999,108900,99999,99000,98000,95900,97450,96900,99700,102500,1e+05,108250,122500,110000,122500,122500,109900,122500,126944,122500,119000,109900,106000,106000,109250,109750,110000,118900,115450,103250,99900,99800,114950,120500,116950,113450,110000,109900,105900,105000,103950,99900,115000,115000,125000,119000,122449.5,122450,119500,119450,114950,119000,121000,121700,128999.5,131400,132900,130000,129900,134900,140000,139500,149499.5,144950,154450,153900,149900,149999,145900,145450,145000,144950
"30525","Clayton","GA",,"Rabun",1252,,,,,,,,,,,,135450,135000,135000,149000,155000,155000,169000,149000,142000,146000,147500,154000,149900,149900,154700,159900,168750,179000,163200,170000,157450,149900,149900,159900,155000,165000,165000,154700,155000,155000,155000,154950,150000,149900,149950,149900,149500,147200,162250,155000,159700,165000,162450,169900,167900,165450,166200,165000,165450,166500,168750,179000,169000,168500,166500,166500,162500,166750,165000,164950,174900,164500,168500,166750,165000,164950,168500,169950,175000,179000,179000,184500,179000,176388.5,179000,169000,172000,182000,179000,177000,179900,179900,179900,188500,189000,189000,192000
"34987","Port Saint Lucie","FL","Port St. Lucie","Saint Lucie",1253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230990,196995,201495,202499,194990,199250,210000,225000,228990,229900,219945,229900,229900,237990,236995,219949.5,227940,227940,228990,240990,240990,240990,242990,240990,239000,234900,219950,224900,231970,235435,225790,230935,229900,244115,244900,247200
"65049","Village of Four Seasons","MO",,"Camden",1254,144500,149000,145750,138500,136900,136900,136900,139000,139000,136900,132000,129500,132000,127950,129700,129250,129500,124500,129500,124000,124700,119900,124500,125000,124950,124900,125000,119450,120450,121000,119000,121500,125900,120000,121000,113250,115000,115900,118500,117500,117750,115000,114900,113900,116900,116900,115750,116700,113900,111250,113400,115900,114900,116900,115900,112000,114950,114900,115000,115000,115000,113000,115000,106900,107500,109700,109500,109500,109500,109900,109200,110000,109500,106900,106900,104900,107250,107900,112000,112999,112900,114000,114450,114900,114900,113500,113500,113500,115000,117500,117300,115000,117000,129500,119000,119500,117950,119950
"92325","Crestline","CA","Riverside","San Bernardino",1255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139900,137900,129000,135000,134900,139950,149500,138500,145000,147000,143499.5,149000,145000,149000,145000,139900,139800,149900,150000,153500,149450,149000,159900,159450,165000,169000,166000,169000,170000,168900,169450,169000,169950,169900,171000,175000,185000,189000,197000,207000,199000,199000,198900,199000,199700,199900,194450,202425
