"Date","RegionID","RegionName","State","Metro","County","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2018-02-28,23250,"Friant","CA","Fresno","Fresno",12582,503400,0.0116559485530547,0.0330391955674123,0.0526976160602258,0.0613974078842434,-0.00136044429237003,"2007-01","2007-Q1",573400,-0.122078828043251,"2005-08"
2018-02-28,7377,"Taylor","AL","Dothan","Houston",12583,98000,0.00204498977505112,0,0.00719424460431655,0.00102354359694012,-0.00350298217309564,"2009-05","2009-Q2",117800,-0.168081494057725,"2006-11"
2018-02-28,46639,"Mount Olive","IL","St. Louis","Macoupin",12584,56500,-0.00352733686067019,-0.00528169014084507,-0.0872374798061389,-0.0089576958834644,-0.0116119812202047,"2016-05","2016-Q2",69000,-0.181159420289855,"2013-08"
2018-02-28,22604,"Stone Lake","WI",,"Sawyer",12585,282900,0.00212539851222104,0.000707463742483198,-0.030167980802194,-0.0138292720380847,,"2012-04","2012-Q2",305900,-0.075187969924812,"2011-12"
2018-02-28,49590,"Maunaloa","HI","Kahului","Maui",12586,290000,0.0290986515259049,0.0816859380828049,0.150337167790559,0.0652673173890941,,"2010-08","2010-Q3",316800,-0.0845959595959596,
2018-02-28,16105,"Tiki Island","TX","Houston","Galveston",12587,471500,0.00533049040511727,0.00383223334043006,-0.00736842105263158,0.0456395525912732,0.0234641227470747,"2016-12","2016-Q4",478300,-0.0142170186075685,"2016-11"
2018-02-28,40187,"Osgood","IN",,"Ripley",12588,81400,0.0111801242236025,0.0395913154533844,0.0767195767195767,0.0101286494984054,0.00822233518512561,"2005-03","2005-Q1",97400,-0.164271047227926,
2018-02-28,212360,"Lake Heritage","PA","Gettysburg","Adams",12589,201500,-0.0088539104771274,-0.0175524134568503,0.0333333333333333,0.0236204464623389,-0.037596791783306,"2008-05","2008-Q2",297500,-0.322689075630252,"2004-10"
2018-02-28,397820,"Long Beach","NJ","New York","Ocean",12590,836400,0.0027574631339168,0.0161584254647066,-0.0141442715700141,0.0303961863853528,0.00127624912390134,"2006-10","2006-Q4",881800,-0.0514855976411885,"2005-12"
2018-02-28,4538,"Elburn","IL","Chicago","Kane",12591,268400,0,0.000745712155108128,0.0256018341612533,0.0502982535935108,-0.00832418360781739,"2006-06","2006-Q2",305300,-0.120864723223059,"2004-02"
2018-02-28,19602,"New Virginia","IA","Des Moines","Warren",12592,163800,0.00676090964966196,0.0218340611353712,0.0769230769230769,0.00915972817595301,,"2009-08","2009-Q3",165700,-0.0114665057332529,"2009-07"
2018-02-28,24840,"Garrison","MN","Minneapolis-St Paul","Mille Lacs",12593,148300,0.0122866894197952,0.0684438040345821,0.143407864302236,0.0204865157846212,-0.0264543195246428,"2018-02","2018-Q1",148300,0,"2018-02"
2018-02-28,35602,"Fairmount","GA","Calhoun","Gordon",12594,127300,0.00791765637371338,0.0358014646053702,0.0871050384286934,0.0657209012861468,-0.00666204989948982,"2008-02","2008-Q1",136100,-0.0646583394562821,"2007-06"
2018-02-28,49911,"Winona Lake","IN","Warsaw","Kosciusko",12595,145500,-0.00205761316872428,-0.00137268359643102,0.0246478873239437,,,"2016-03","2016-Q1",154500,-0.058252427184466,"2015-01"
2018-02-28,36780,"Barton","MD","Cumberland","Allegany",12596,61300,-0.00162866449511401,-0.0192,0.0268006700167504,0.0100860749221756,-0.0152739129302553,"2008-06","2008-Q2",74400,-0.176075268817204,"2005-12"
2018-02-28,105442,"McDonald Chapel","AL","Birmingham","Jefferson",12597,52700,0,0.00957854406130268,0.0733197556008147,0.0429813628453142,,"2010-11","2010-Q4",60500,-0.128925619834711,
2018-02-28,105559,"Minor","AL","Birmingham","Jefferson",12598,69800,0.0234604105571848,0.052790346907994,0.144262295081967,0.0391699696728838,-0.00821251977031601,"2006-05","2006-Q2",78400,-0.10969387755102,"2005-02"
2018-02-28,4916,"Glenville","NC","Cullowhee","Jackson",12599,340100,0.00591540964211772,0.037839487335978,0.0119012198750372,0.0316745770010376,-0.0302310520985435,"2007-11","2007-Q4",465800,-0.269858308286818,"2004-05"
2018-02-28,4821,"Frewsburg","NY","Jamestown","Chautauqua",12600,90700,0.00331858407079646,0.00554323725055432,0.0342075256556442,0.0387456180729433,0.0178396608874927,"2017-06","2017-Q2",92500,-0.0194594594594595,"2017-04"
2018-02-28,47175,"Point Marion","PA","Pittsburgh","Fayette",12601,82200,-0.00363636363636364,-0.0352112676056338,0.133793103448276,0.0793984529017209,0.054393319414304,"2017-10","2017-Q4",85600,-0.0397196261682243,"2017-07"
2018-02-28,16369,"Rushford","MN","Rochester","Fillmore",12602,130100,0.0030840400925212,0.00385802469135802,0.026835043409629,0.0375523231690289,0.0137436421978192,"2018-02","2018-Q1",130100,0,"2018-02"
2018-02-28,3933,"Cambridge","IL","Davenport","Henry",12603,93800,-0.00424628450106157,-0.00740740740740741,0.0107758620689655,0.00808141806741225,0.00883691976309287,"2009-08","2009-Q3",98300,-0.0457782299084435,"2009-04"
2018-02-28,8293,"Addison","MI","Adrian","Lenawee",12604,172000,0.0636982065553494,0.0810810810810811,0.174061433447099,0.099996843282991,0.0300677500468518,"2018-02","2018-Q1",172000,0,"2018-02"
2018-02-28,21578,"Crescent Beach","FL","Jacksonville","Saint Johns",12605,313200,-0.00697526949904883,-0.0157133878064111,0.0751802265705458,0.0560952771469894,-0.0265008448747145,"2006-05","2006-Q2",492800,-0.364448051948052,"2004-03"
2018-02-28,42612,"Ramrod Key","FL","Key West","Monroe",12606,460700,-0.00604099244875944,-0.0222835314091681,-0.0721047331319235,0.0632076297049069,-0.0105215418861667,"2005-07","2005-Q3",665600,-0.307842548076923,"2004-05"
2018-02-28,43624,"Glenarm","IL","Springfield","Sangamon",12607,177500,0.00339174674957603,0.0189437428243398,0.0527876631079478,0.0255026881023246,0.0165701157787366,"2018-02","2018-Q1",177500,0,"2018-02"
2018-02-28,44773,"Cotton","MN","Duluth","Saint Louis",12608,119700,0.00335289186923722,-0.00498753117206983,0.049079754601227,0.00874618799606686,-0.00271587958880326,"2007-08","2007-Q3",131000,-0.0862595419847328,"2007-02"
2018-02-28,25286,"Jackson Center","OH","Sidney","Shelby",12609,111400,0.00179856115107914,0.00541516245487365,-0.00535714285714286,0.0287071143614912,0.0157322202620265,"2017-02","2017-Q1",112000,-0.00535714285714286,"2017-02"
2018-02-28,35577,"Fair Haven","NY","Auburn","Cayuga",12610,124200,0.00811688311688312,0.0298507462686567,-0.0540746382330541,0.0141042604826644,0.00958471177280318,"2017-01","2017-Q1",131500,-0.0555133079847909,"2016-11"
2018-02-28,6588,"Posey","CA","Visalia","Tulare",12611,146800,0.0316233309908644,0.0922619047619048,0.131842713955281,0.04464519175541,,"2018-02","2018-Q1",146800,0,"2018-02"
2018-02-28,8383,"Berry Creek","CA","Chico","Butte",12612,199400,0.00100401606425703,-0.0118929633300297,0.0315571650284532,0.0817727039429599,0.00823460591386027,"2007-07","2007-Q3",218300,-0.0865781035272561,"2006-11"
2018-02-28,39265,"Kiowa","OK","McAlester","Pittsburg",12613,93200,0.00865800865800866,0.026431718061674,0.0208105147864184,0.0405537309887538,0.0441575997322907,"2015-12","2015-Q4",99500,-0.0633165829145729,"2015-08"
2018-02-28,105058,"Ladonia","AL","Columbus","Russell",12614,96200,0,-0.00103842159916926,-0.0456349206349206,-0.00124275446246425,0.00579372629249453,"2011-06","2011-Q2",102800,-0.0642023346303502,"2010-12"
2018-02-28,16066,"Volcano","CA",,"Amador",12615,332900,0.0084822780975462,0.0390137328339576,0.248687171792948,0.0964215136616928,0.00370928930780923,"2006-07","2006-Q3",389300,-0.144875417415875,"2005-04"
2018-02-28,20469,"Sherwood","WI","Appleton","Calumet",12616,216200,0.00138953219082909,0.0174117647058824,0.0734856007944389,0.0346984635495851,0.0151594798429349,"2018-02","2018-Q1",216200,0,"2018-02"
2018-02-28,35721,"Jonestown","PA","Lebanon","Lebanon",12617,171600,-0.00174520069808028,0.00292226767971946,0.043161094224924,0.0129598873562464,0.00224184849495912,"2018-01","2018-Q1",171900,-0.00174520069808028,"2017-12"
2018-02-28,37724,"Campbellsport","WI","Fond du Lac","Fond du Lac",12618,137500,0.00145666423889294,0.043247344461305,0.0792778649921507,0.0347700554140982,-0.000290444582066507,"2007-12","2007-Q4",142900,-0.0377886634009797,"2007-09"
2018-02-28,194121,"Cumberland Head","NY","Plattsburgh","Clinton",12619,162400,0.00744416873449132,0.0291508238276299,0.0726552179656539,0.0165550127925576,0.0042220226189098,"2005-12","2005-Q4",169100,-0.0396215257244234,"2005-11"
2018-02-28,16970,"Belleville","WI","Madison","Dane",12620,187200,-0.00478468899521531,-0.00899947061937533,0.0184983677910773,0.0280722767122745,0.0071655114475504,"2017-12","2017-Q4",188900,-0.00899947061937533,"2017-08"
2018-02-28,23082,"Brackettville","TX",,"Kinney",12621,74400,0,-0.0053475935828877,0.0362116991643454,0.0261220909283437,,"2017-09","2017-Q3",75600,-0.0158730158730159,"2017-07"
2018-02-28,29549,"Weedsport","NY","Auburn","Cayuga",12622,105500,0.00094876660341556,0.0252672497570457,0.00094876660341556,0.0146510063589012,0.00990252196128272,"2016-12","2016-Q4",105800,-0.00283553875236295,"2016-11"
2018-02-28,34041,"South Amherst","OH","Cleveland","Lorain",12623,126600,0.0111821086261981,0.0360065466448445,0.0567612687813022,0.0340197809866565,-0.00596095442840083,"2007-08","2007-Q3",141200,-0.103399433427762,"2004-03"
2018-02-28,36040,"Mechanicsburg","OH","Urbana","Champaign",12624,104500,0.00674373795761079,0.0165369649805447,0.117647058823529,0.0520081085749724,0.0258010213897857,"2018-02","2018-Q1",104500,0,"2018-02"
2018-02-28,5781,"Mankato","KS",,"Jewell",12625,61400,0,-0.00807754442649435,0.00986842105263158,0.0153393573231613,,"2017-09","2017-Q3",62600,-0.0191693290734824,"2017-05"
2018-02-28,10880,"Clyo","GA","Savannah","Effingham",12626,160400,0,0.0050125313283208,0.0236119974473516,0.0287575268741083,-0.0100788557991656,"2008-07","2008-Q3",181100,-0.114301490889012,"2004-10"
2018-02-28,23338,"Sloan","IA","Sioux City","Woodbury",12627,134100,-0.00297397769516729,-0.00666666666666667,0.0205479452054795,0.0517492518959393,0.0368315170107636,"2017-08","2017-Q3",135400,-0.00960118168389956,"2017-06"
2018-02-28,45081,"Edgerton","OH",,"Williams",12628,86400,-0.0023094688221709,-0.00917431192660551,-0.0103092783505155,0.0385837904822666,0.00785184764436542,"2004-07","2004-Q3",93900,-0.0798722044728434,"2004-01"
2018-02-28,4154,"Coffeen","IL",,"Montgomery",12629,52300,0.00383877159309021,0.0439121756487026,0.0873180873180873,0.00115119261200647,,"2014-01","2014-Q1",52500,-0.00380952380952381,"2014-01"
2018-02-28,18586,"Hiram","GA","Atlanta","Cherokee",12630,131200,-0.0037965072133637,-0.015015015015015,-0.01427498121713,0.111605964080268,-0.00136169721902946,"2017-09","2017-Q3",138300,-0.0513376717281273,"2017-01"
2018-02-28,22166,"Haskins","OH","Toledo","Wood",12631,173900,0.000575373993095512,0.00753186558516802,0.0565006075334143,0.0431322811352315,0.0110513487342769,"2018-02","2018-Q1",173900,0,"2018-02"
2018-02-28,31261,"Dowell","MD","Washington","Calvert",12632,278700,-0.00747863247863248,-0.00747863247863248,0.00577408877661494,0.0115869640749582,-0.032395821315779,"2006-08","2006-Q3",424100,-0.342843668946003,"2004-02"
2018-02-28,32346,"Krugerville","TX","Dallas-Fort Worth","Denton",12633,229000,-0.0052128583840139,0.0150709219858156,0.099375900144023,0.106922596028417,0.0466869440561115,"2018-01","2018-Q1",230200,-0.0052128583840139,"2017-12"
2018-02-28,15478,"Harristown","IL","Decatur","Macon",12634,76600,-0.00905562742561449,-0.0077720207253886,-0.0484472049689441,-0.0132912634269452,-0.0142253392481572,"2009-11","2009-Q4",117100,-0.345858240819812,"2005-09"
2018-02-28,32979,"Mount Jackson","VA",,"Shenandoah",12635,153300,0.0026160889470242,-0.0204472843450479,-0.0495970241785493,0.0188994957585344,-0.0151039550822825,"2005-12","2005-Q4",206000,-0.255825242718447,"2004-11"
2018-02-28,16338,"Topton","PA","Reading","Berks",12636,175300,-0.00170842824601367,0.0097926267281106,0.0894965817277812,0.0333222881777673,0.00132159227734285,"2007-06","2007-Q2",181800,-0.0357535753575358,"2006-12"
2018-02-28,42623,"Ozawkie","KS","Topeka","Jefferson",12637,122000,0.0132890365448505,0.0338983050847458,0.00164203612479475,0.0106605046454382,,"2016-06","2016-Q2",122500,-0.00408163265306122,"2016-05"
2018-02-28,46703,"New Berlin","IL","Springfield","Sangamon",12638,115900,-0.00515021459227468,-0.00343938091143594,-0.0144557823129252,0.0222973063881664,0.0127582027176292,"2017-02","2017-Q1",117600,-0.0144557823129252,"2017-01"
2018-02-28,29100,"Philo","OH","Zanesville","Muskingum",12639,80500,0.00750938673341677,0.032051282051282,0.0454545454545455,0.0466164831834981,0.0126369101296615,"2016-10","2016-Q4",80900,-0.00494437577255871,"2016-09"
2018-02-28,25746,"Maple Plain","MN","Minneapolis-St Paul","Hennepin",12640,267800,0.0105660377358491,0.033179012345679,0.085528982569923,0.0744687606346102,0.012549608423897,"2018-02","2018-Q1",267800,0,"2018-02"
2018-02-28,54766,"Tuscola","TX","Abilene","Taylor",12641,236200,-0.00797984040319194,-0.0327600327600328,0.00382490437739057,0.0492853223884784,,"2017-10","2017-Q4",244300,-0.0331559557920589,"2017-04"
2018-02-28,9845,"Duck","NC","Kill Devil Hills","Dare",12642,464800,-0.00128921357971637,-0.0516221179351153,-0.0907668231611894,-0.0186587549504683,-0.0427939658522967,"2006-10","2006-Q4",799200,-0.418418418418418,"2003-05"
2018-02-28,3403,"Andalusia","IL","Davenport","Rock Island",12643,119800,0.0248075278015398,0.0187074829931973,0.0327586206896552,-0.00670762337930819,,"2013-03","2013-Q1",124600,-0.0385232744783307,"2012-10"
2018-02-28,6840,"Ross","CA","San Francisco","Marin",12644,2938700,0.00112420794440281,0.037310271796682,0.103861467958831,0.0997832862419841,0.023148107870965,"2018-02","2018-Q1",2938700,0,"2018-02"
2018-02-28,14795,"Carterville","IL","Carbondale","Williamson",12645,114400,0.0114942528735632,0.0205173951828724,0.0495412844036697,0.0512588479761751,0.0125359810538466,"2018-02","2018-Q1",114400,0,"2018-02"
2018-02-28,31171,"Danville","IA","Burlington","Des Moines",12646,157200,-0.00632111251580278,0.00319081046585833,0.0878892733564014,0.0579705300851401,0.0323824927682066,"2018-01","2018-Q1",158200,-0.00632111251580278,"2018-01"
2018-02-28,17981,"England","AR","Little Rock","Lonoke",12647,101600,-0.00587084148727984,-0.0240153698366955,0.0314720812182741,0.0494896581301574,0.0331870958110165,"2017-08","2017-Q3",107200,-0.0522388059701493,"2017-06"
2018-02-28,38722,"Godwin","NC",,"Sampson",12648,127000,0.00474683544303797,-0.0223248652809854,-0.0458302028549962,0.0236348319049842,0.00797688020333065,"2016-09","2016-Q3",134800,-0.0578635014836795,"2016-07"
2018-02-28,6447,"Paynesville","MN","St. Cloud","Stearns",12649,127400,-0.0062402496099844,0.00631911532385466,0.0332522303325223,0.0339752265319502,0.000867547479968422,"2007-09","2007-Q3",130400,-0.0230061349693252,"2007-04"
2018-02-28,19605,"Newburg","WI","Milwaukee","Washington",12650,206000,-0.00145419292292777,0.0325814536340852,0.00340964442279591,0.0320964308180394,0.0068533404453992,"2003-03","2003-Q1",230500,-0.106290672451193,
2018-02-28,4553,"Elk Run Heights","IA","Waterloo","Black Hawk",12651,118500,0.0119555935098207,0.0189165950128977,0.0514640638864241,0.0117082916652791,0.0107339979365413,"2004-11","2004-Q4",125400,-0.0550239234449761,"2004-09"
