"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2018-02-28,"48858","MI","Mount Pleasant","Isabella","Mount Pleasant",1033,964,-0.0020703933747412,-0.0020703933747412,0.0343347639484979,9667
2018-02-28,"52001","IA","Dubuque","Dubuque","Dubuque",1034,967,-0.00922131147540984,-0.0102354145342886,-0.033966033966034,14548
2018-02-28,"90020","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",1035,12627,-0.00094944220270591,-0.00832482525720569,-0.0298117556665386,716
2018-02-28,"78233","TX","San Antonio","Bexar","San Antonio",1036,1282,0.00078064012490242,0.0015625,0.0272435897435897,13839
2018-02-28,"98270","WA","Seattle","Snohomish","Marysville",1037,1943,0.000514933058702369,0.00517330574236937,0.0782463928967814,14327
2018-02-28,"08540","NJ","Trenton","Mercer","Princeton",1038,3513,-0.00425170068027211,-0.00453386228393313,0.0259929906542056,13530
2018-02-28,"26505","WV","Morgantown","Monongalia","Morgantown",1039,1252,-0.00318471337579618,-0.014948859166011,-0.0428134556574924,6588
2018-02-28,"33415","FL","Miami-Fort Lauderdale","Palm Beach","Greenacres",1040,1587,0.000630517023959647,0.011472275334608,0.0352250489236791,5607
2018-02-28,"33180","FL","Miami-Fort Lauderdale","Miami-Dade","Aventura",1041,2337,0.013882863340564,0.0196335078534031,-0.0362886597938144,4470
2018-02-28,"92780","CA","Los Angeles-Long Beach-Anaheim","Orange","Tustin",1042,3052,0.00361723117395594,0.00131233595800525,0.0255376344086021,7925
2018-02-28,"48235","MI","Detroit","Wayne","Detroit",1043,793,0,0.0140664961636829,0.0406824146981627,18627
2018-02-28,"28117","NC","Charlotte","Iredell","Mooresville",1044,1988,-0.0192402565367538,-0.0469798657718121,-0.0635892604804522,16828
2018-02-28,"87123","NM","Albuquerque","Bernalillo","Albuquerque",1045,1204,0.00249791840133222,0.00668896321070234,0.00500834724540901,12237
2018-02-28,"75023","TX","Dallas-Fort Worth","Collin","Plano",1046,1798,0.000556483027267668,0.00390843104410944,0.00278862242052426,13682
2018-02-28,"85711","AZ","Tucson","Pima","Tucson",1047,1103,0.000907441016333938,0.00363967242948135,0.0760975609756098,11234
2018-02-28,"48170","MI","Detroit","Wayne","Plymouth",1048,1958,0.00358790363915941,0.00256016385048643,-0.00709939148073022,13683
2018-02-28,"97202","OR","Portland","Multnomah","Portland",1049,2198,-0.00722673893405601,-0.0278637770897833,-0.0218068535825545,11262
2018-02-28,"29073","SC","Columbia","Lexington","Lexington",1050,1138,-0.00175438596491228,-0.00262927256792287,0,13826
2018-02-28,"85016","AZ","Phoenix","Maricopa","Phoenix",1051,1609,0.00436953807740325,0.00877742946708464,0.0327342747111682,7542
2018-02-28,"37221","TN","Nashville","Davidson","Nashville",1052,1913,-0.0010443864229765,-0.00468262226847034,-0.0139175257731959,10017
2018-02-28,"15108","PA","Pittsburgh","Allegheny","Moon",1053,1421,0.00211565585331453,-0.0104456824512535,-0.011134307585247,12253
2018-02-28,"21229","MD","Baltimore","Baltimore City","Baltimore",1054,1299,-0.00230414746543779,0.00308880308880309,0.00619674670797831,14683
2018-02-28,"60435","IL","Chicago","Will","Joliet",1055,1467,0.000682128240109141,0.00410677618069815,0.0309205903021785,14921
2018-02-28,"60623","IL","Chicago","Cook","Chicago",1056,1410,0.00355871886120996,0.00858369098712446,0.0299488677867056,4725
2018-02-28,"87110","NM","Albuquerque","Bernalillo","Albuquerque",1057,1205,0.00333055786844296,0.00921273031825796,0.00333055786844296,13820
2018-02-28,"80537","CO","Fort Collins","Larimer","Loveland",1058,1664,0.000601322910402886,-0.00299580587177951,0.00909642207398423,13503
2018-02-28,"01970","MA","Boston","Essex","Salem",1059,2328,0.00474751834268451,0.000429737859905458,0.020604997807979,5346
2018-02-28,"52404","IA","Cedar Rapids","Linn","Cedar Rapids",1060,1046,0.00191570881226054,0.0165208940719145,-0.00570342205323194,11296
2018-02-28,"11758","NY","New York","Nassau","Massapequa",1061,2950,0.00237852531430513,0.00854700854700855,0.0293091416608514,16408
2018-02-28,"19403","PA","Philadelphia","Montgomery","West Norriton",1062,1955,0.0051413881748072,0.0171696149843913,0.0556155507559395,12517
2018-02-28,"60632","IL","Chicago","Cook","Chicago",1063,1479,0.0033921302578019,0,0.0185950413223141,9731
2018-02-28,"48111","MI","Detroit","Wayne","Van Buren",1064,1201,0.0117944397641112,0.0300171526586621,0.03713298791019,13873
2018-02-28,"75024","TX","Dallas-Fort Worth","Collin","Plano",1065,2436,0.00123304562268804,-0.00611995104039168,-0.0185334407735697,7935
2018-02-28,"54703","WI","Eau Claire","Eau Claire","Eau Claire",1066,1124,-0.0293609671848014,-0.0522765598650927,-0.0209059233449477,12575
2018-02-28,"19139","PA","Philadelphia","Philadelphia","Philadelphia",1067,1212,0.00748129675810474,-0.000824402308326463,-0.0319488817891374,2242
2018-02-28,"08401","NJ","Atlantic City","Atlantic","Atlantic City",1068,1287,-0.00694444444444444,-0.0175572519083969,0.0117924528301887,6682
2018-02-28,"21044","MD","Baltimore","Howard","Columbia",1069,2496,0.00120336943441637,0.00807754442649435,-0.00359281437125748,9596
2018-02-28,"30064","GA","Atlanta","Cobb","Marietta",1070,1765,0.00113442994895065,0.00341102899374645,0.0487225193107546,15748
2018-02-28,"75227","TX","Dallas-Fort Worth","Dallas","Dallas",1071,1268,0.00475435816164818,0.0119712689545092,0.0496688741721854,12171
2018-02-28,"95828","CA","Sacramento","Sacramento","Florin",1072,1607,-0.00433705080545229,-0.00495356037151703,0.0880162491536899,14205
2018-02-28,"47201","IN","Columbus","Bartholomew","Columbus",1073,1156,-0.0144927536231884,-0.0310142497904443,-0.00258843830888697,14576
2018-02-28,"75063","TX","Dallas-Fort Worth","Dallas","Irving",1074,2420,0.00124120810922631,0.00165562913907285,0.00540091400083091,6028
2018-02-28,"98226","WA","Bellingham","Whatcom","Bellingham",1075,1789,-0.00941306755260244,-0.0224043715846995,0.0648809523809524,10589
2018-02-28,"34744","FL","Orlando","Osceola","Kissimmee",1076,1430,0.00988700564971751,0.0163468372423596,0.0295176385889129,13877
