"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2018-02-28,"93906","CA","Salinas","Monterey","Salinas",1233,2155,0.0145951035781544,0.0315940641455242,0.0537897310513447,12011
2018-02-28,"33126","FL","Miami-Fort Lauderdale","Miami-Dade","Miami",1234,1604,0.0018738288569644,0.0069052102950408,-0.0012453300124533,13634
2018-02-28,"32835","FL","Orlando","Orange","Orlando",1235,1362,0.00888888888888889,0.0156599552572707,0.0194610778443114,15574
2018-02-28,"83686","ID","Boise City","Canyon","Nampa",1236,1192,0.00505902192242833,0.0196749358426005,0.104726598702502,17034
2018-02-28,"08816","NJ","New York","Middlesex","East Brunswick",1237,2356,0.00212675457252233,0.0124623979372583,0.0369718309859155,16149
2018-02-28,"85041","AZ","Phoenix","Maricopa","Phoenix",1238,1205,0.000830564784053156,0.00584307178631052,0.0514834205933682,15860
2018-02-28,"91702","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Azusa",1239,2251,-0.00221631205673759,-0.00044404973357016,0.0259799453053783,12583
2018-02-28,"91770","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Rosemead",1240,2441,0.00246406570841889,0.00452674897119342,0.0247691015952981,11888
2018-02-28,"91761","CA","Riverside","San Bernardino","Ontario",1241,2154,0.00232666356444858,0.00701262272089762,0.0538160469667319,10451
2018-02-28,"33919","FL","Fort Myers","Lee","Fort Myers",1242,1518,0.000659195781147001,0.00131926121372032,-0.0084911822338341,18886
2018-02-28,"76017","TX","Dallas-Fort Worth","Tarrant","Arlington",1243,1555,0.00128783000643915,0.00452196382428941,0.0311671087533156,14118
2018-02-28,"52302","IA","Cedar Rapids","Linn","Marion",1244,1181,0.0128644939965695,0.0314410480349345,0.0451327433628319,15621
2018-02-28,"30076","GA","Atlanta","Fulton","Roswell",1245,1980,0.00151745068285281,0.0045662100456621,0.0355648535564854,12108
2018-02-28,"50613","IA","Waterloo","Black Hawk","Cedar Falls",1246,1294,-0.00766871165644172,-0.0069071373752878,0.0229249011857708,15462
2018-02-28,"85206","AZ","Phoenix","Maricopa","Mesa",1247,1310,0.00383141762452107,0.0108024691358025,0.0421638822593477,12793
