"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2018-02-28,"33433","FL","Miami-Fort Lauderdale","Palm Beach","Boca Raton",508,2163,0.00138888888888889,0.000925497454881999,0.0329512893982808,18030
2018-02-28,"92122","CA","San Diego","San Diego","San Diego",509,2855,0.0014030164854437,0.00919052668787558,0.0601559598960267,10718
2018-02-28,"42701","KY","Elizabethtown","Hardin","Elizabethtown",510,1148,0,0.000871839581517001,0.0259159964253798,12911
2018-02-28,"89074","NV","Las Vegas","Clark","Henderson",511,1440,0.00278551532033426,0.0133708655876144,0.0564930300807043,17285
2018-02-28,"89103","NV","Las Vegas","Clark","Las Vegas",512,1064,0.00377358490566038,0.0181818181818182,0.117647058823529,13590
2018-02-28,"77346","TX","Houston","Harris","Atascocita",513,1696,0.00414446417998816,0.0077243018419489,0.00414446417998816,18432
2018-02-28,"23455","VA","Virginia Beach","Virginia Beach City","Virginia Beach",514,1646,0.00243605359317905,0.0116779348494161,0.0255451713395639,16174
2018-02-28,"19104","PA","Philadelphia","Philadelphia","Philadelphia",515,1286,0.00625978090766823,0.0046875,-0.0015527950310559,6508
2018-02-28,"43015","OH","Columbus","Delaware","Delaware",516,1619,0.00309789343246592,0.0074673304293715,0.0325255102040816,15866
2018-02-28,"47150","IN","Louisville/Jefferson County","Floyd","New Albany",517,1094,-0.00545454545454545,0,0.0350047303689688,16781
2018-02-28,"79924","TX","El Paso","El Paso","El Paso",518,894,0,-0.00223214285714286,-0.00556173526140156,16353
2018-02-28,"27265","NC",,"Guilford","High Point",519,1201,0.00166805671392827,0.00502092050209205,0.0117944397641112,18658
2018-02-28,"30058","GA","Atlanta","Dekalb","Lithonia",520,1129,0.00177462289263532,0.0116487455197133,0.0752380952380952,17400
2018-02-28,"30047","GA","Atlanta","Gwinnett","Lilburn",521,1477,0.00407885791978246,0.0102599179206566,0.0534950071326676,18762
2018-02-28,"12180","NY","Albany","Rensselaer","Troy",522,1380,0.00217864923747277,0.0087719298245614,0.025260029717682,8679
2018-02-28,"30101","GA","Atlanta","Cobb","Acworth",523,1545,0.00129617627997408,0.00455136540962289,0.0446247464503043,18968
2018-02-28,"33015","FL","Miami-Fort Lauderdale","Miami-Dade","Country Club",524,1807,0,0.00444691495275153,0.00612472160356347,17428
2018-02-28,"60608","IL","Chicago","Cook","Chicago",525,1627,-0.00122774708410068,-0.0121432908318154,-0.0151331719128329,7697
2018-02-28,"41042","KY","Cincinnati","Boone","Florence",526,1309,0.0100308641975309,0.0218579234972678,0.0405405405405405,14414
2018-02-28,"92648","CA","Los Angeles-Long Beach-Anaheim","Orange","Huntington Beach",527,3568,0.00112233445566779,0.000560852495793606,0.00592049619396673,12119
2018-02-28,"55124","MN","Minneapolis-St Paul","Dakota","Apple Valley",528,1701,0.00413223140495868,-0.00176056338028169,0.0240818783865141,15675
2018-02-28,"32303","FL","Tallahassee","Leon","Tallahassee",529,1155,0,0.00873362445414847,0.0645161290322581,14982
2018-02-28,"78753","TX","Austin","Travis","Austin",530,1575,-0.00379506641366224,-0.00316455696202532,0.0280678851174935,7350
2018-02-28,"92620","CA","Los Angeles-Long Beach-Anaheim","Orange","Irvine",531,3420,-0.00175131348511384,-0.0034965034965035,0.00411039342337052,12085
2018-02-28,"94112","CA","San Francisco","San Francisco","San Francisco",532,3839,-0.000780843310775638,-0.0056980056980057,0.00734715297822094,17111
2018-02-28,"37129","TN","Nashville","Rutherford","Murfreesboro",533,1446,0.00346981263011797,0.00977653631284916,0.0335954253037884,17616
2018-02-28,"90640","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Montebello",534,2447,0.00163733115022513,0.00451559934318555,0.019158683881716,9828
2018-02-28,"78759","TX","Austin","Travis","Austin",535,2194,-0.0036330608537693,-0.00679040289723857,-0.00858563036601898,10198
2018-02-28,"10014","NY","New York","New York","New York",536,4585,-0.0107874865156419,-0.0463810316139767,-0.0596800656275636,6216
