"RegionName","City","State","Metro","CountyName","SizeRank","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02"
"02155","Medford","MA","Boston","Middlesex",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0985014119031,1.04330708661417,1.14904578175656,1.08735427403718,1.10047846889952,1,1.00749355447735,1.05267135558595,1.027429147549,0.963081861958267,1.04625550660793,1.08251633986928
"06511","New Haven","CT","New Haven","New Haven",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.372768295075535,0.425123422929237,0.446800053363274,0.445726271630834,0.396534212941609,0.391859890226369,0.375822110867523,0.389254385964912,0.409962916473818,0.404970813738586,0.404970813738586,0.404970813738586,0.444312796208531
"92880","Eastvale","CA","Riverside","Riverside",5,0.672193591754425,0.692447600900745,0.696909214076118,0.713795241317231,0.695704779189353,0.711958475463137,0.708174472647135,0.720043845085728,0.707290533188248,0.699558173784978,0.702007375403561,0.709639266706091,0.693877551020408,0.689958896065766,0.695284159613059,0.683229813664596,0.67809325084036,0.698191861725262,0.714285714285714,0.695708401323543,0.700934579439252,0.688991000450251,0.689958896065766,0.687379708551004,0.688734132198788,0.693877551020408,0.692425497378998,0.69104762654801,0.701096746602289,0.69697794718214,0.714109825166215,0.705283701003738,0.710184345723784,0.710184345723784,0.709401709401709,0.708026058921471,0.736260846699974,0.720649895178197,0.72842096093385,0.725532571781414,0.753483082172306,0.71078431372549,0.751325336868617,0.741399762752076,0.725733293014817,0.722661576220344,0.72108843537415,0.742130572237219,0.753483082172306,0.749923477196204,0.745033112582781,0.742472283620926,0.723174811921017,0.788117611397393,0.759526938239159,0.765228037955311,0.794199538218213,0.737560745629941,0.766156557331909,0.772960956371852,0.761296660117878,0.783116538359437,0.794246911575166,0.814393685066227,0.810443296165352,0.798860398860399,0.787983255355824,0.788425092763551,0.814234016887817,0.785854616895874,0.782122905027933,0.8,0.811525514125523
"02128","Boston","MA","Boston","Suffolk",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.879801567742673,0.868621064060804,0.844965478442086,0.881057268722467,0.88162526845461,0.893941654058431,0.879204892966361,0.877926421404682,0.84985835694051,0.789969285240776,0.784034796586627,0.798296966471527,0.836595333346094,0.886740733417783
"02125","Boston","MA","Boston","Suffolk",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.759301442672741,0.774739374926641,0.783162016642193,0.773615635179153,0.764434878037143,0.764818355640535,0.772898695218692,0.789683364511882,0.789683364511882,0.75512405609493,0.758131391787844,0.778654553809645,0.795404485851665
"11937","East Hampton","NY","New York","Suffolk",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.6296296296296,16.0122528543581,15,15,14.1509433962264,13.3333333333333,13.3333333333333,13.6931818181818,14.3095238095238,12.8205128205128,14.4927536231884,14.8148148148148,14.2857142857143
"02144","Somerville","MA","Boston","Middlesex",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07214000229847,1.00644122383253,1.04873534855028,1.01660454083362,1.01660454083362,1.1179455543374,1.3018156903049,1.21270892566963,1.14907677340207,1.08350214992985,1.02579132473623,1.01876675603217,1.01569713758079,1.1010165184244,1.13326447477793,1.11859311327558,1.10357253424957
"90210","Beverly Hills","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3930373618522,4.5303920065093,4.86842105263158,4.90936555891239,4.98440424204616,5.67184234099731,4.99220212102308,5.01448629373746,5.24238495428364,5.44413178137419,5.44413178137419,5.72182858957053,5.53569827026181,5.70218312153796
"11968","Southampton","NY","New York","Suffolk",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.8571428571429,16.4583333333333,16.6666666666667,15.922674694977,15.0421179302046,14.2857142857143,15.845349389954,15.8541467761953,14.1934058268905,14.7292273970126,14.5208131655373,14
"11963","Noyack","NY","New York","Suffolk",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.4414414414414,18.9204545454545,18.3333333333333,16.6666666666667,14.4927536231884,13.75,13.1764577278222,14.2080745341615,14.1176470588235,14.7934565140638,13.875,12.9412238325282,12.9412238325282,13.75
"11976","Water Mill","NY","New York","Suffolk",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.4098018769552,17.2413793103448,17,19,17.8740875912409,16.923337282112,15.625,14.8799360876512,14.3575017946877,15.3333333333333,17.1240601503759,15.625,16.3351502525613,17.3333333333333,17.4166666666667
"11932","Bridgehampton","NY","New York","Suffolk",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.4444444444444,16.6666666666667,16.6666666666667,16.6666666666667,16.6666666666667,16.6666666666667,16.2861415752742,14.5833333333333,15.5902777777778,15.625,15.625,16.1081081081081,16.255081300813
