"RegionName","City","State","Metro","CountyName","SizeRank","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02"
"60657","Chicago","IL","Chicago","Cook",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.55725922376617,1.57213114754098,1.65,1.69230769230769,1.69230769230769,1.76,1.73235294117647,1.68888888888889,1.6975,1.70731707317073,1.78333333333333,1.6975,1.76804357694054,1.8
"77494","Cinco Ranch","TX","Houston","Fort Bend",2,,,,,,,,,,,0.799031476997579,0.787853250873225,0.796927938129104,0.814203768444466,0.81453634085213,0.870891749023213,0.863060989643268,0.849248491393835,0.829012399400871,0.795640734151352,0.799824196236804,0.801068090787717,0.830234333133049,0.837983760324343,0.829056454796684,0.888236917050629,0.897097625329815,0.874906924795235,0.85808078375915,0.859306728808622,0.865998176845943,0.88200182490028,0.882240122746452,0.882809069416121,0.887311446317657,0.887796481614585,0.88137163370027,0.878243512974052,0.882240122746452,0.894854586129754,0.901399274730078,0.919842312746386,0.902602854743913,0.89748076036933,0.890150318517958,0.865185950413223,0.857441140424846,0.878647214854111,0.878284422475442,0.872405470524231,0.891136801541426,0.897908979089791,0.882894553055296,0.891224862888483,0.886192874275374,0.867052023121387,0.865261423717933,0.85508752053606,0.874769797421731,0.87173100871731,0.855823160673045,0.853617527826082,0.856036029159192,0.850906400295967,0.840657241115781,0.851900393184797,0.846598820832243,0.828281620588232,0.813890396093326,0.781822623992182,0.794701986754967,0.784873349982162,0.784933459715551,0.802103662506524,0.791033134223137,0.788804071246819,0.82089552238806,0.83990904013831,0.819893089159702,0.812411083421653,0.820544009221059,0.825423029302518,0.841810647422508,0.855637292807568,0.830986554132027,0.843959898597676
"75070","McKinney","TX","Dallas-Fort Worth","Collin",3,,,0.655703875258747,0.670967227025068,0.699499364272092,0.69537909376402,0.692455263964503,0.664043285784555,0.653357531760436,0.638051044083527,0.638109047352421,0.635871909143186,0.662713637949076,0.694383979103178,0.698893655820315,0.702711671806945,0.701674966047986,0.715380684721513,0.697410244055016,0.732217573221757,0.690427698574338,0.704361219195849,0.713231677324151,0.729857574659917,0.754861821903787,0.762919021595279,0.726211858631157,0.745315161839864,0.772522379997785,0.732118617032219,0.731922461573624,0.725094577553594,0.740929994890138,0.735603194619588,0.706749459118492,0.705996131528046,0.739131669012587,0.73536645351697,0.740917782026769,0.741911491260692,0.748312078019505,0.75331426323389,0.76844262295082,0.754716981132076,0.758483033932136,0.729708726686622,0.741553312856516,0.758292275126232,0.784563189143342,0.783410138248848,0.760103417396077,0.775043177892919,0.80625885040363,0.783410138248848,0.784554845056567,0.784554845056567,0.807181955164673,0.798431972447343,0.790578358208955,0.770756077066295,0.78587962962963,0.786114075080027,0.785245901639344,0.776374442793462,0.777470628887353,0.815093106827834,0.82221487678703,0.823572474377745,0.834919940681615,0.807291628296913,0.829268292682927,0.806374881065652,0.806572306516582,0.806134486826583,0.807491072052072,0.82135523613963,0.844736405725389,0.839160839160839,0.83102172463322,0.812541274540827,0.810229445506692,0.805305542396968,0.815538391640164,0.813592233009709,0.8071367884452,0.813575081357508
"60614","Chicago","IL","Chicago","Cook",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.07142857142857,2.11764705882353,2.1875,2.16666666666667,2.08333333333333,1.9,1.9,1.775,1.9,1.88888888888889,1.96666666666667,1.99903846153846
"77084","Houston","TX","Houston","Harris",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.645638722529467,0.639225442442533,0.663963989281475,0.657155136850652,0.630693763139453,0.663632916192643,0.66649387745116,0.663632916192643,0.662715590912387,0.66453827263935,0.662251655629139,0.668248130332502,0.677080792476353,0.681431005110733,0.673885052746601,0.678296184936574,0.696022727272727,0.683890577507599,0.678866587957497,0.650573420625452,0.675427512921288,0.696022727272727,0.72400724971889,0.717821865538691,0.717131474103586,0.696692483892561,0.696022727272727,0.684531875407676,0.688976377952756,0.689688967278764,0.667372881355932,0.673036852804118,0.676246830092984,0.690349293563579,0.679824561403509,0.691417957042957,0.679510971736356,0.688775510204082,0.691402447503824,0.683624932650639,0.696443419385493,0.688838029319022,0.653489404952043,0.682419906061019,0.68973862536302,0.671089005710142,0.692684814780337,0.695825049701789,0.69888855661882,0.696022727272727,0.705689850377706,0.695091804632689,0.704225352112676,0.696668388429752,0.688093225234213,0.691514299109236
"77449","Houston","TX","Houston","Harris",6,,,,,,,,,,,0.59756688277815,0.633971291866029,0.627853881278539,0.617529880478088,0.627853881278539,0.618792378288999,0.610902255639098,0.617750882501261,0.643004115226337,0.610902255639098,0.610902255639098,0.606729509040681,0.617283950617284,0.612244897959184,0.618485863112807,0.612959719789842,0.614409036184375,0.620304429317305,0.641319285387082,0.648500027921849,0.651302605210421,0.635941541803333,0.648252730806585,0.620963735717834,0.615893447714055,0.620664476086163,0.626849112426035,0.636023737237416,0.644850701318233,0.655178868820925,0.690184049079755,0.703828828828829,0.703720142932472,0.708888888888889,0.703957382039574,0.721276595744681,0.717781155015198,0.708366219415943,0.710659898477157,0.751133786848073,0.720260223048327,0.716180371352785,0.703957382039574,0.756654677405983,0.735294117647059,0.740043057050592,0.696869321709496,0.708745092207594,0.731215330307615,0.719581334496293,0.738760620475079,0.747915644923982,0.753539865263743,0.729977116704805,0.736607142857143,0.745313664289583,0.692964435084113,0.71262320528472,0.708699902248289,0.728633320204805,0.718020451102863,0.728298185384993,0.728298185384993,0.728298185384993,0.728298185384993,0.733207190160833,0.728298185384993,0.726600985221675,0.743348982785602,0.723366944322665,0.709651510576869,0.720949957591179,0.728551737417285,0.747915644923982,0.748502994011976,0.747915644923982
"28269","Charlotte","NC","Charlotte","Mecklenburg",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.621722909384243,0.665134724085138,0.670208867717113,0.708399676272017,0.717760617760618,0.716701902748414,0.711775043936731,0.703786191536748,0.704550604374643,0.69613457408733,0.69613457408733,0.692760651195012,0.682400292718624,0.685466764349601
"30349","Riverdale","GA","Atlanta","Clayton",8,,,,,,,0.549948479578273,0.577777777777778,0.593891402714932,0.618294748729531,0.570962732919255,0.577509009834463,0.562836679725759,0.5546875,0.566413032155011,0.56941431670282,0.599582898852972,0.565610859728507,0.547178988326848,0.539645743295246,0.550884348127263,0.545862412761715,0.559933637494815,0.547178988326848,0.531226199543031,0.544554455445545,0.546647746590609,0.56547619047619,0.55366269165247,0.579268292682927,0.567109777015437,0.56564990595125,0.565262076053443,0.555229142185664,0.564543532388472,0.5638249887235,0.558659217877095,0.559006426837864,0.561797752808989,0.561647539506099,0.563486100676183,0.56941431670282,0.593434343434343,0.592180381781983,0.583531426893674,0.590124616489094,0.570612072512621,0.579229765549551,0.578235947992934,0.581103725374019,0.573575949367089,0.575519371139809,0.584148139097158,0.583333333333333,0.588752658653608,0.588768115942029,0.587544065804935,0.589225589225589,0.579777365491651,0.598659003831418,0.609110169491525,0.582072176949942,0.593187906620742,0.598184818481848,0.605778191985089,0.588114754098361,0.620638085742772,0.610656331498116,0.604651162790698,0.615182778168657,0.616003763693486,0.594967658591349,0.609756097560976,0.633521055690867,0.610393752796998,0.61013986013986,0.621448863636364,0.623084291187739,0.630169596574262,0.645948151853736,0.645563310069791,0.638585025685343,0.641037735849057,0.619334636547929,0.649350649350649,0.648298217179903
"77429","Cypress","TX","Houston","Harris",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.682459827658623,0.726086956521739,0.71874431997551,0.702578330567957,0.744868395788455,0.713264211655345,0.726086956521739,0.730665640631012,0.723472668810289,0.711224694612658,0.729612587176455,0.733186603391861,0.725576220205306,0.734753550543024,0.746593703673289,0.752964791601754,0.751016260162602,0.718135738745702,0.71399724583565,0.711483594864479,0.731707317073171,0.724829351535836,0.728462837837838,0.745287154756686,0.728586285479636,0.729634128067007,0.709468533514167,0.724826125036869,0.758113590263692,0.729120636323464,0.711287380608677,0.750334071780895,0.749882318658657,0.697211155378486,0.715368421052632,0.704557101062963,0.721110995240431,0.720646018125391,0.721458554653429,0.723306582339029,0.725294650951949,0.71430375161673,0.714810498158247,0.733106308500114,0.715746421267894,0.72734829592685,0.735294117647059,0.729513672909899
"60613","Chicago","IL","Chicago","Cook",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.58333333333333,1.5,1.5,1.53763888888889,1.56385869565217,1.59411764705882,1.53340490615348,1.46153846153846,1.4725,1.52791666666667,1.52941176470588,1.6
