"RegionName","City","State","Metro","CountyName","SizeRank","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02"
"10025","New York","NY","New York","New York",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.57322175732218,4.66154879140555,4.55982516437537,4.7,4.59414225941423,4.63054879140555,4.66111111111111,4.58823529411765,4.70714285714286,4.59035195668225,4.59330543933054,4.6395431834404,4.57811087866109,4.55982516437537,4.59414225941423,4.63132038312575
"60657","Chicago","IL","Chicago","Cook",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.65406427221172,1.63484848484848,1.63636363636364,1.69369952494062,1.75589073634204,1.63409090909091,1.75178147268409,1.75,1.75,1.81159420289855,1.75550314465409,1.725,1.69337606837607,1.67215909090909,1.745,1.74719101123595,1.77777777777778,1.78421052631579,1.75376884422111,1.8,1.85185185185185,1.85393258426966,1.79166666666667,1.8,1.7445652173913,1.6625,1.64156862745098,1.78571428571429,1.83264053840063,1.90767045454545,1.89473684210526,1.875,1.88888888888889,1.88730158730159,1.85,1.8,1.78571428571429,1.79126794258373,1.7984009009009,1.85,1.94117647058824
"10023","New York","NY","New York","New York",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.17655367231638,5.05548517384978,5.06202290076336,5.12401928734881,4.956,4.95454545454545,4.90801393728223,5.03077697542008,5,5.1522078062933,5.25801529458227,5.11645962732919,5.12752805927863,5.1211228954256,5.08704057547488,5.00438596491228,4.93653032440056,4.9687789560383,5.00219298245614,5.05341002465078,5.14851485148515,5.10034843205575,4.94138344177017,4.93653032440056,4.95039100684262,4.59166666666667,4.95454545454545,4.94623655913978,4.90801393728223,4.90801393728223,4.89210526315789,4.89210526315789,4.90801393728223,4.99166666666667,4.96462450833546,5.01679862997318,4.95956873315364,4.90801393728223,4.89210526315789,4.90977483842172,5.15104886493691,5.10017421602787,5.07368421052632,5.1,5.31227491244463
"77494","Cinco Ranch","TX","Houston","Fort Bend",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.25532011365697,1.22794117647059,1.22093023255814,1.24888093106535,1.41119528619529,1.30569948186528,1.31544041450777,1.30129194289205,1.30971337579618,1.33513149022252,1.27975113277026,1.27058322815463,1.25,1.24615384615385,1.29112662013958,1.24075203010192,1.2532154340836,1.24888093106535,1.28068592057762,1.320518444666,1.3331954295692,1.33000997008973,1.35899465891033,1.33659952821629,1.38588822796745,1.36092468307233,1.36092468307233,1.36092468307233
"75070","McKinney","TX","Dallas-Fort Worth","Collin",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.13269794721408,1.1255230125523,1.13302397525135,1.13577568596689,1.11558666394846,1.12232428503206,1.1547811993517,1.1875,1.1586433531746,1.1875,1.16190476190476,1.18476654846336,1.15933696000299,1.15278907855555,1.1350468174039,1.12750263435195,1.13846153846154,1.14434170387895,1.16106194690265,1.15885916016351,1.16581196581197,1.18203309692671,1.21886633655276,1.16451551421819,1.15896828290193,1.13956378668651,1.14319433516916,1.11235216819974,1.15988909426987,1.17075213675214,1.10413080895009,1.125,1.17616956693005,1.13130417335474,1.12908150948838,1.12739056702868,1.13249594813614,1.13452188006483,1.25079305911619,1.26910656620022,1.2875,1.27031650983747,1.28802828823186,1.30984487145119,1.28632938643703,1.28632938643703,1.26480086114101,1.21800947867299,1.2234309623431,1.2413515687852
"60614","Chicago","IL","Chicago","Cook",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2.08181818181818,2.09285714285714,2.05263157894737,2.04712776493892,2.099,2.01271186440678,2,1.96093384759233,1.96666666666667,1.88888888888889,1.98529411764706,1.94444444444444,1.89285714285714,1.91987179487179,1.98447204968944,1.90681818181818,1.88679245283019,1.975,1.91641716566866,1.795,2,2.07142857142857,2.01981227351037,1.995,2,1.94977324263039,1.9125,2,1.97278911564626,1.92121815286624,2.24479166666667,2,2,1.98863636363636,2.02941176470588,2.03225806451613,2.0073664825046,1.92115384615385,1.98083333333333,1.83461538461538,2,1.92296296296296,2,2.06125,2.07905701754386,2.10833333333333,2.02852303523035,2.02926829268293,1.995,2,1.94146341463415,1.995,2.05555555555556,2.07142857142857,2.06141176470588
"77084","Houston","TX","Houston","Harris",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.06768916876761,1.04636292061753,1.08297589204323,1.07737785250123,1.07362534948742,1.09444418881533,0.977165354330709,1.07362534948742,0.9800796812749,1.06076759061834,1.00241591647912,0.973333333333333,1.04759405200184,1.07097933513028,1.06053240740741,1.07416666666667,1.05059231069477,1.08620944818888,1.1061872909699,1.10916666666667,1.1344583275164,1.13105769230769,1.09166666666667,1.0481452249408
"60640","Chicago","IL","Chicago","Cook",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.38840909090909,1.395,1.40463828314296,1.36181818181818,1.37840909090909,1.3125,1.5,1.50259067357513,1.5,1.5,1.5,1.46875,1.45454545454545,1.39230769230769,1.40454545454545,1.42857142857143,1.45,1.54090909090909,1.5,1.576,1.6,1.59694822006472,1.42678571428571,1.57142857142857,1.41458333333333,1.35,1.37243150684932,1.47058823529412,1.58333333333333,1.63461538461538,1.63157894736842,1.7,1.6875,1.59259259259259,1.6,1.54545454545455,1.49583333333333,1.4599358974359,1.5,1.69,1.75
"77449","Houston","TX","Houston","Harris",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.04991087344029,1.05793226381462,1.14116652578191,1.14719004496159,1.1819235225956,1.20371669004208,1.19775596072931,1.20436218309087,1.25543006081668,1.25232774674115,1.26157082748948,1.23724696356275
"94109","San Francisco","CA","San Francisco","San Francisco",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.98936170212766,4.24242424242424,4.31654676258993,4.27158273381295,4.22727272727273,4.27215500327011,4.29909532215357,4.24242424242424,4.31818181818182,4.32149161518094,4.31736429038587,4.2570034881186,4.27158273381295,4.31301128452077,4.2946370176586,4.34315610177348,4.34645307010206,4.32149161518094,4.36151079136691,4.36257357750164,4.33438652169286,4.36363636363636,4.54090909090909,4.4040404040404,4.36151079136691,4.32586224455156,4.32586224455156,4.40134024365231,4.41860465116279,4.36257357750164,4.36151079136691,4.34315610177348,4.31736429038587,4.36363636363636,4.27272727272727,4.27272727272727,4.32480141218005,4.30288122443222,4.41794310722101,4.52105263157895,4.46368715083799,4.35081739745493,4.27272727272727,4.35,4.32149161518094,4.28354814253222,4.23484848484848,4.27215500327011,4.28425213675214,4.30442722744881,4.37014709428503,4.32149161518094,4.35466843916171
