"RegionName","City","State","Metro","CountyName","SizeRank","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02"
"60657","Chicago","IL","Chicago","Cook",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.76592664092664,1.74547050561798,1.75,1.71261755485893,1.75,1.78030303030303,1.61875,1.8,1.82307692307692,1.86304983473176,1.83846153846154,1.8,1.69230769230769,1.6875,1.64411764705882,1.695,1.6987194758785,1.76428571428571,1.81534090909091,1.8125,1.88888888888889,1.95833333333333,1.9375,1.87096774193548,1.81333333333333,1.81545454545455,1.80833333333333,1.79,1.85357142857143,1.9,1.99375,1.99,1.96826080712337,1.99,1.99,1.89402861860209,1.85714285714286,1.8,1.794,1.80714285714286,1.84105263157895,1.86875
"60614","Chicago","IL","Chicago","Cook",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.33881299714247,2.2,2.35244360902256,2.11111111111111,2.1,2.12592592592593,2.15,2.19230769230769,2.14562118126273,2.0809925093633,2.0809925093633,1.99666666666667,2.06666666666667,2.09285714285714,2.14285714285714,2.14285714285714,2.125,2.13,2.13969237832874,2.12705882352941,2.10997963340122,2.13636363636364,2.08333333333333,2.10714285714286,2.125,2.15,2.10973965287049
"60640","Chicago","IL","Chicago","Cook",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.72222222222222,1.7,1.7,1.71988973706531,1.69230769230769,1.65,1.65,1.66666666666667,1.63995215311005,1.646875,1.59375,1.65,1.74314814814815
"94109","San Francisco","CA","San Francisco","San Francisco",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.53257790368272,4.67057291666667,4.51380868576876,4.44388014220416,4.46969696969697,4.54632447887844,4.58762886597938,4.65616045845272,4.65381443298969,4.37062937062937,4.4441622933243,4.44444444444444,4.5644978862271,4.58957219251337,4.7323717948718,4.59090909090909,4.58548109965636,4.87191420477539,4.95750708215297,4.95750708215297,4.82509905348888,4.95750708215297,4.95750708215297,4.88668555240793,4.4975,4.63917525773196,4.9742892553622,4.82638888888889,4.65145785252382,4.80610138449121,4.82638888888889,4.85714285714286,4.66,4.4441622933243,4.32149161518094,4.44444444444444,4.53735011990408,4.46969696969697,4.4995,4.695,4.69835945399393,4.66666666666667,4.54817036423217,4.80769230769231,4.63208762886598,4.63917525773196,4.63537710255019,4.68328779599271,4.86470581683306,4.93899376369459,4.71631205673759,4.55638474295191
"10016","New York","NY","New York","New York",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.19572697214234,5.1498127340824,5.11597262419558,5.11095721760542,5.11363636363636,5.18444444444444,5.14079686824535,5.24384236453202,5.27494453105024,5.26032806166383,5.11111111111111,5.1,5.10752688172043,5.11111111111111,4.99166666666667,4.96103896103896,4.99833333333333,5.05555555555556,5.10733070348455,5.11861593462717,5.125,4.99166666666667,5.09090909090909,5,5.17241802076355,5,5.16878052336176,4.9984375,4.91132332878581,4.95779220779221,5.2,5.12445095168375,5.25147928994083,5.15867022924411,5.25147928994083,5.27928571428571,5.32994923857868,5.09090909090909,5.02459733087897,4.96103896103896,4.96350364963504,5.0996015936255,5.1528384279476,5.20829892650702
"11375","New York","NY","New York","Queens",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.41287878787879,2.395,2.36363636363636,2.43697033898305,2.43561164333088,2.42857142857143,2.44722222222222,2.4542665923034,2.4,2.35,2.33333333333333,2.28571428571429,2.39285714285714,2.31372549019608,2.33333333333333,2.30965063449788,2.33723958333333,2.35714285714286,2.35714285714286,2.33333333333333,2.39583333333333,2.38364102564103,2.45,2.43194444444444,2.41428571428571,2.37565104166667,2.40885416666667,2.425,2.45833333333333,2.40909090909091,2.44,2.44827586206897,2.46428571428571,2.46164772727273,2.41880438043804,2.46666666666667,2.42039170506912,2.42857142857143,2.49652777777778
"60647","Chicago","IL","Chicago","Cook",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.53653846153846,1.69230769230769,1.56904761904762,1.66666666666667,1.71875,1.7,1.72953216374269,1.72214285714286,1.72666666666667,1.69573529411765,1.66666666666667,1.65,1.75,1.72222222222222,1.76538461538462,1.80839160839161
"60618","Chicago","IL","Chicago","Cook",8,,,,,,,,1.26315789473684,1.21111111111111,1.22222222222222,1.25598086124402,1.23803827751196,1.2,1.195,1.15504807692308,1.15192307692308,1.2,1.32843137254902,1.28571428571429,1.28571428571429,1.31447368421053,1.33333333333333,1.29407894736842,1.24375,1.30808823529412,1.11111111111111,1.2,1.26090909090909,1.2780701754386,1.29522727272727,1.3,1.31875,1.28392857142857,1.28571428571429,1.3,1.29,1.3,1.3,1.31909090909091,1.5,1.39444444444444,1.44444444444444,1.45,1.35147058823529,1.34642857142857,1.25,1.26229508196721,1.35,1.371875,1.20643939393939,1.36363636363636,1.36363636363636,1.39130434782609,1.44722222222222,1.44222222222222,1.42857142857143,1.4,1.4,1.4,1.40625,1.40625,1.46184210526316,1.5,1.42708333333333,1.46666666666667,1.54285714285714,1.54545454545455,1.488,1.47727272727273,1.36363636363636,1.4277027027027,1.5,1.47222222222222,1.48809523809524,1.5,1.5,1.47083333333333,1.46638655462185,1.44,1.43095238095238,1.41477124183007,1.40592857142857,1.47241647241647,1.5,1.5
"10029","New York","NY","New York","New York",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.29411764705882,5.2434456928839,5.29411764705882,5.21246358718269,5.4608718487395,5.50700280112045,5.52558782849239,5.49926470588235,5.52558782849239,5.1698670605613,5.15463917525773,5.02599653379549,5.02599653379549,4.61011904761905,4.55284552845528,4.58541745610711,4.82777777777778,4.7943661971831,4.59523809523809,5.07554945054945,5.12532549604836,5.02599653379549,5.02599653379549
"79912","El Paso","TX","El Paso","El Paso",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.76,0.724438374255697,0.76735044529031,0.774090896902771,0.735584682533643,0.765606595995289,0.739130434782609,0.704545454545455,0.705000762976043,0.712935095334717,0.753348422624603,0.744981179422836,0.741578682755153
