GEO.id,GEO.id2,GEO.display-label,HC01_VC04,HC01_VC05,HC03_VC49,HC03_VC50,HC03_VC56
Id,Id2,Geography,Estimate; SEX AND AGE - Total population - Male,Estimate; SEX AND AGE - Total population - Female,Percent; RACE - One race - White,Percent; RACE - One race - Black or African American,Percent; RACE - One race - Asian
8600000US97865,97865,ZCTA5 97865,611,597,97.4,0,0
8600000US97867,97867,ZCTA5 97867,402,494,89.8,0,0.7
8600000US97868,97868,ZCTA5 97868,906,979,93,0,0
8600000US97869,97869,ZCTA5 97869,503,574,95.1,0,0
8600000US97870,97870,ZCTA5 97870,263,249,97.7,0.6,0
8600000US97873,97873,ZCTA5 97873,78,102,100,0,0
8600000US97874,97874,ZCTA5 97874,181,188,95.4,0,2.4
8600000US97875,97875,ZCTA5 97875,1401,1543,84.6,0,0.3
8600000US97876,97876,ZCTA5 97876,411,425,96.4,0,1
8600000US97877,97877,ZCTA5 97877,134,132,98.9,0,0
8600000US97880,97880,ZCTA5 97880,180,143,90.4,0,0.6
8600000US97882,97882,ZCTA5 97882,4914,2898,81.7,1.7,0.2
8600000US97883,97883,ZCTA5 97883,1311,1127,95.3,0.5,0.3
8600000US97884,97884,ZCTA5 97884,80,109,93.1,0,2.1
8600000US97885,97885,ZCTA5 97885,564,556,97,0,0
8600000US97886,97886,ZCTA5 97886,693,667,90.4,0,1.3
8600000US97901,97901,ZCTA5 97901,386,356,88.4,0,3.8
8600000US97903,97903,ZCTA5 97903,88,111,100,0,0
8600000US97904,97904,ZCTA5 97904,104,89,99.5,0,0
8600000US97905,97905,ZCTA5 97905,81,79,100,0,0
8600000US97906,97906,ZCTA5 97906,128,138,99.2,0,0
8600000US97907,97907,ZCTA5 97907,213,206,93.3,0,3.6
8600000US97908,97908,ZCTA5 97908,24,25,98,0,0
8600000US97909,97909,ZCTA5 97909,43,47,100,0,0
8600000US97910,97910,ZCTA5 97910,289,261,92.9,0.4,0
8600000US97911,97911,ZCTA5 97911,42,29,100,0,0
8600000US97913,97913,ZCTA5 97913,2849,2492,90.5,0.9,0.9
8600000US97914,97914,ZCTA5 97914,10632,8142,84,1.6,2
8600000US97918,97918,ZCTA5 97918,2042,2159,94.7,0.1,0.7
8600000US97920,97920,ZCTA5 97920,110,55,100,0,0
8600000US98001,98001,ZCTA5 98001,15377,16287,68.1,7.2,13.1
8600000US98002,98002,ZCTA5 98002,16534,17457,69.1,5.4,5.5
8600000US98003,98003,ZCTA5 98003,23322,24085,56.2,12.1,12.2
8600000US98004,98004,ZCTA5 98004,16140,16984,63.5,1.6,28.9
8600000US98005,98005,ZCTA5 98005,9326,8733,53.9,3.4,33.9
8600000US98006,98006,ZCTA5 98006,18514,19305,57,1.9,33.2
8600000US98007,98007,ZCTA5 98007,14807,12243,45.7,3.5,41.8
8600000US98008,98008,ZCTA5 98008,12498,12265,66.8,3.4,24
8600000US98010,98010,ZCTA5 98010,2491,2652,85.7,1.7,2.7
8600000US98011,98011,ZCTA5 98011,15517,16157,76.5,1.9,11.7
8600000US98012,98012,ZCTA5 98012,28743,29463,71.3,1.6,18.8
8600000US98014,98014,ZCTA5 98014,3423,3523,92,1.2,2.3
8600000US98019,98019,ZCTA5 98019,5342,5930,91.4,2.3,2.4
8600000US98020,98020,ZCTA5 98020,9460,10536,82.7,1.3,7.2
8600000US98021,98021,ZCTA5 98021,14871,15014,70.9,2.7,17.3
8600000US98022,98022,ZCTA5 98022,10875,11033,88.8,1.6,1.2
8600000US98023,98023,ZCTA5 98023,25228,25105,63.5,9,13.2
8600000US98024,98024,ZCTA5 98024,3202,3018,87.1,0.5,10.2
8600000US98026,98026,ZCTA5 98026,17579,19265,80.1,1.4,10.3
8600000US98027,98027,ZCTA5 98027,14234,14645,80.7,2.5,12.6
8600000US98028,98028,ZCTA5 98028,10690,11101,81,1.4,10
8600000US98029,98029,ZCTA5 98029,12530,13956,64.7,2.5,26
8600000US98030,98030,ZCTA5 98030,18253,18960,52.9,13.9,17.6
8600000US98031,98031,ZCTA5 98031,18517,18473,52.2,9.7,24
8600000US98032,98032,ZCTA5 98032,18331,18083,53,11.6,12.4
8600000US98033,98033,ZCTA5 98033,18556,19073,79,1,12.5
8600000US98034,98034,ZCTA5 98034,20794,21871,75,1.4,15.8
8600000US98036,98036,ZCTA5 98036,19085,19451,67.2,5.3,14.9
8600000US98037,98037,ZCTA5 98037,13827,14532,62.7,7.6,20.4
8600000US98038,98038,ZCTA5 98038,17035,17897,85.7,2.2,4.8
8600000US98039,98039,ZCTA5 98039,1536,1633,72.4,0.6,20.5
8600000US98040,98040,ZCTA5 98040,11894,12573,75.8,1.8,18.5
8600000US98042,98042,ZCTA5 98042,23377,22483,76.5,4.7,10.6
8600000US98043,98043,ZCTA5 98043,10257,10517,71.7,5.3,12
8600000US98045,98045,ZCTA5 98045,7455,7029,90.5,1.9,1
8600000US98047,98047,ZCTA5 98047,3285,3490,67.7,4,6.5
8600000US98050,98050,ZCTA5 98050,137,49,100,0,0
8600000US98051,98051,ZCTA5 98051,1617,1703,91.9,0.2,3.6
8600000US98052,98052,ZCTA5 98052,32502,31222,61.7,1.8,30.8
8600000US98053,98053,ZCTA5 98053,10775,11034,73.8,0.9,22.1
8600000US98055,98055,ZCTA5 98055,11669,11237,43,12.9,26.9
8600000US98056,98056,ZCTA5 98056,17882,17258,58.2,6.3,21.5
8600000US98057,98057,ZCTA5 98057,6789,6174,46.4,19.4,21.6
8600000US98058,98058,ZCTA5 98058,21723,22024,62.2,7.1,17.9
8600000US98059,98059,ZCTA5 98059,18564,18653,64.5,3.4,21.2
8600000US98065,98065,ZCTA5 98065,7338,7304,82.1,0.6,10.7
8600000US98068,98068,ZCTA5 98068,162,94,79.3,17.6,0
8600000US98070,98070,ZCTA5 98070,4661,5183,94.5,0.4,2.3
